Video Name,Total Frames,Processed Frames,Total Time (s),Process FPS
105_combined,32385,1295,137.29700469970703,9.432106715163927
20240501_20240501115227_20240501130415_115227,10770,430,48.12027883529663,8.93594156991026
20240501_20240501130415_20240501141554_130415,10750,430,47.40590214729309,9.070600505902476
20240501_20240501141554_20240501152820_141555,10865,434,48.93987512588501,8.868024262089936
20240501_20240501140806_20240501152004_140807,10795,431,48.30982232093811,8.921581146308604
103_combined,21490,859,94.63918209075928,9.07657886536061
20240501_20240501125647_20240501140806_125649,10695,427,50.98968505859375,8.374242741631404
108_combined,54643,2185,246.29917097091675,8.871325028771643
20240501_20240501113543_20240501135236_113542,27323,1092,125.76543927192688,8.682830563958872
20240501_20240501135236_20240501160912_135235,27320,1092,125.23367810249329,8.719699177934304
20240501_20240501135755_20240501161432_135755,27325,1093,125.82572913169861,8.686617653977468
20240501_20240501114103_20240501135755_114103,27322,1092,125.38755106925964,8.708998546409267
107_combined,54647,2185,249.26728510856628,8.765691009345016
